"H10"	"H11"	"H12"	"H13"	"H14"	"H15"	"H16"	"H17"	"H18"	"H19"	"H1"	"H20"	"H21"	"H22"	"H23"	"H24"	"H25"	"H26"	"H27"	"H2"	"H3"	"H4"	"H5"	"H6"	"H7"	"H8"	"H9"	"IT11"	"IT13"	"IT14"	"IT1"	"IT2"	"IT3"	"IT4"	"IT5"	"IT6"	"IT7"	"IT8"
"k__Archaea"	0.24169	0.50621	0.30522	0.40133	0.17479	1.9859	0.09453	0.70448	0	0.03585	1.17419	3.02325	1.02702	1.03256	0	0.09576	0.51437	1.76294	1.41517	0	0.09874	0.5672	1.48857	0	0.02377	0.87371	0.36868	0	0.02404	0	0	2.71882	0	0.22664	0	0.05963	0	0
"k__Archaea|p__Euryarchaeota"	0.24169	0.50621	0.30522	0.40133	0.17479	1.9859	0.09453	0.70448	0	0.03585	1.17419	3.02325	1.02702	1.03256	0	0.09576	0.51437	1.76294	1.41517	0	0.09874	0.5672	1.48857	0	0.02377	0.87371	0.36868	0	0.02404	0	0	2.71882	0	0.22664	0	0.05963	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria"	0.24169	0.50621	0.30522	0.40133	0.17479	1.9859	0.09453	0.70448	0	0.03585	1.17419	3.02325	1.02702	1.03256	0	0.09576	0.51437	1.76294	1.41517	0	0.09874	0.5672	1.48857	0	0.02377	0.87371	0.36868	0	0.02404	0	0	2.71882	0	0.22664	0	0.05963	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales"	0.24169	0.50621	0.30522	0.40133	0.17479	1.9859	0.09453	0.70448	0	0.03585	1.17419	3.02325	1.02702	1.03256	0	0.09576	0.51437	1.76294	1.41517	0	0.09874	0.5672	1.48857	0	0.02377	0.87371	0.36868	0	0.02404	0	0	2.71882	0	0.22664	0	0.05963	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae"	0.24169	0.50621	0.30522	0.40133	0.17479	1.9859	0.09453	0.70448	0	0.03585	1.17419	3.02325	1.02702	1.03256	0	0.09576	0.51437	1.76294	1.41517	0	0.09874	0.5672	1.48857	0	0.02377	0.87371	0.36868	0	0.02404	0	0	2.71882	0	0.22664	0	0.05963	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter"	0.24169	0.50621	0.30522	0.35994	0.16331	1.9859	0.09259	0.66628	0	0.03585	1.17419	3.02325	1.02702	1.03256	0	0.09576	0.51437	1.69535	1.41517	0	0.09874	0.5672	1.27238	0	0.02377	0.87371	0.36868	0	0.02404	0	0	2.71882	0	0.22664	0	0.05963	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii"	0.24169	0.50621	0.30522	0.35994	0.1528	1.9859	0.0917	0.66628	0	0.03585	0.92002	3.02325	1.02702	1.03256	0	0.09576	0.51437	1.69535	1.41517	0	0.09874	0.5672	1.27238	0	0.01186	0.68765	0.36868	0	0	0	0	2.71882	0	0.2086	0	0.04877	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified"	0.24169	0.50621	0.30522	0.35994	0.1528	1.9859	0.0917	0.66628	0	0.03585	0.92002	3.02325	1.02702	1.03256	0	0.09576	0.51437	1.69535	1.41517	0	0.09874	0.5672	1.27238	0	0.01186	0.68765	0.36868	0	0	0	0	2.71882	0	0.2086	0	0.04877	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified"	0	0	0	0	0.01051	0	0.00089	0	0	0	0.25417	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01191	0.18606	0	0	0.02404	0	0	0	0	0.01804	0	0.01086	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera"	0	0	0	0.04139	0.01148	0	0.00194	0.0382	0	0	0	0	0	0	0	0	0	0.0676	0	0	0	0	0.21619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae"	0	0	0	0.04139	0.01148	0	0.00194	0.0382	0	0	0	0	0	0	0	0	0	0.0676	0	0	0	0	0.21619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545"	0	0	0	0.04139	0.01148	0	0.00194	0.0382	0	0	0	0	0	0	0	0	0	0.0676	0	0	0	0	0.21619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria"	99.75831	99.49379	99.69478	99.59867	99.82521	98.0141	99.90547	99.2864	100	99.96415	98.82581	96.97675	98.97298	98.96744	100	99.90424	99.48563	98.23706	98.58483	100	99.90126	99.4328	98.51143	100	99.94594	99.12629	99.63132	100	99.97596	100	100	97.28118	100	99.77336	100	99.94037	100	100
"k__Bacteria|p__Acidobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
